experiment_id,description,model,augmentation,loss_function,learning_rate,batch_size,epochs,train_loss,val_loss,test_dice,test_iou,checkpoint_file,notes,maintakeaway
E1,Baseline BatchNorm UNet with moderate augmentation,UNet,moderate,BCE+Dice,0.001,8,20,0.8449,0.8416,0.3817,0.3343,best_model_E1.pth,Initial baseline results,Baseline performance
E2,No augmentation,UNet,none,BCE+Dice,0.001,8,20,0.8055,0.8551,0.3801,0.3365,best_model_E2.pth,Compare effect of augmentation,Similar to baseline
E3,Stronger augmentation,UNet,strong,BCE+Dice,0.001,8,20,0.8964,0.8964,0.2516,0.2097,best_model_E3.pth,Test stronger augmentation with Gaussian Noise,Hurt performance
E4,BCE only loss,UNet,moderate,BCE,0.001,8,20,0.0195,0.025,0.6827,0.6514,best_model_E4.pth,Compare loss functions (new baseline),Big improvement
E5,Dice only loss,UNet,moderate,Dice,0.001,8,20,0.8278,0.8336,0.2293,0.1867,best_model_E5.pth,Compare loss functions,Worse loss choice
E6,Lower learning rate,UNet,moderate,BCE,0.0001,8,20,0.0121,0.0180,0.8179,0.7814,best_model_E6.pth,Compare optimization speed/stability (switched to BCE alone because it turned out to be the best),Best result for now
E7,Middle ground learning rate,UNet,moderate,BCE,0.0005,8,20,0.0151,0.0236,0.7565,0.7197,best_model_E7.pth,Compare optimization speed/stability (switched to BCE alone because it turned out to be the best),worse than the lower lr
E8,Plain UNet,UNetplain,moderate,BCE,0.0001,8,20,0.0315,0.0385,0.6392,0.6263,best_model_E8.pth,Compare different architectures (switched to BCE alone because it turned out to be the best),worse than the BatchNorm model
E9,smoothing factor with Dice loss,UNet,moderate,Dice,0.0001,8,20,0.7835,0.7721,0.3493,0.3032,best_model_E9.pth,Test 1 smoothing factor w dice loss,Improved over E5 but much worse than BCE
E10,Attention UNet with BCE loss,AttentionUNet,moderate,BCE,0.0001,8,20,0.0116,0.0212,0.7755,0.7359,best_model_E10.pth,Testing Attention U-Net architecture,Second best performing model confirming BCE is a very strong loss formulation for this dataset.
E11,Longer training with BCE,UNet,moderate,BCE,0.0001,8,35,,,0.8209328166715081,0.7811829949313701,,Current best result,Better Dice than E6 with nearly identical IoU
E12,Residual U-Net with BCE,ResidualUNet,moderate,BCE,0.0001,8,20,,,0.7710255653574691,0.7365204968603113,,Residual UNet underperformed baseline,Worse than E6
E13,U-Net with Tversky loss,UNet,moderate,Tversky,0.0001,8,20,,,,,,Config created but no evaluation artifacts present,Not run / not evaluated
E14,UNet++ with BCE,UNet++,moderate,BCE,0.0001,8,20,,,0.7770753241124251,0.7410817878753116,,UNet++ underperformed baseline,Worse than E6
E15,R2U-Net with BCE,R2UNet,moderate,BCE,0.0001,8,20,,,0.4383194213251126,0.42212633900804014,,R2U-Net failed badly under this setup,Much worse than E6
E16,Lower learning rate with longer training,UNet,moderate,BCE,0.00005,8,40,,,0.7925926648310586,0.7626152388595767,,Lower learning rate plus longer training did not beat E6 or E11,Worse than E6 and E11
