index,image_path,dice,iou
0,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_1.tif,1.7593243528679636e-10,1.7593243528679636e-10
1,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_10.tif,2.375296848100561e-09,2.375296848100561e-09
2,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_11.tif,0.7430070042610168,0.5910987257957458
3,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_12.tif,0.6651907563209534,0.4983414113521576
4,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_13.tif,0.8371352553367615,0.7198905348777771
5,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_14.tif,0.8566685318946838,0.749273955821991
6,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_15.tif,0.8390170335769653,0.7226781845092773
7,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_16.tif,0.8368794322013855,0.7195122241973877
8,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_17.tif,0.6572875380516052,0.48952221870422363
9,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_18.tif,0.04240882024168968,0.021663779392838478
10,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_19.tif,2.9629629305638616e-10,2.9629629305638616e-10
11,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_2.tif,1.4725372310397944e-10,1.4725372310397944e-10
12,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_20.tif,1.9952114960197775e-10,1.9952114960197775e-10
13,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_21.tif,1.9952114960197775e-10,1.9952114960197775e-10
14,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_22.tif,2.305741292341068e-10,2.305741292341068e-10
15,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_23.tif,4.3898157331412335e-10,4.3898157331412335e-10
16,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_3.tif,1.895734541568217e-10,1.895734541568217e-10
17,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_4.tif,2.1510002112812288e-10,2.1510002112812288e-10
18,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_5.tif,3.2679739470076186e-10,3.2679739470076186e-10
19,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_6.tif,4.004805653767818e-10,4.004805653767818e-10
20,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_7.tif,3.8431974269670377e-10,3.8431974269670377e-10
21,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_8.tif,4.364906214249231e-10,4.364906214249231e-10
22,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_9.tif,3.875968990207923e-10,3.875968990207923e-10
23,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_1.tif,6.060606239088884e-09,6.060606239088884e-09
24,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_10.tif,0.8757267594337463,0.7789269685745239
25,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_11.tif,0.7891891598701477,0.6517857313156128
26,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_12.tif,7.692307235629414e-08,7.692307235629414e-08
27,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_13.tif,1.0,1.0
28,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_14.tif,1.0,1.0
29,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_15.tif,1.0,1.0
30,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_16.tif,1.0,1.0
31,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_17.tif,9.99999087980541e-07,9.99999087980541e-07
32,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_18.tif,3.0674847106837433e-09,3.0674847106837433e-09
33,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_19.tif,7.757952058540241e-10,7.757952058540241e-10
34,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_2.tif,3.7355249449255723e-10,3.7355249449255723e-10
35,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_20.tif,1.0989010590378712e-08,1.0989010590378712e-08
36,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_3.tif,5.417117865391674e-10,5.417117865391674e-10
37,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_4.tif,1.369863000810767e-09,1.369863000810767e-09
38,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_5.tif,1.6207455377781343e-09,1.6207455377781343e-09
