index,image_path,dice,iou
0,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_1.tif,8.880994828430744e-10,8.880994828430744e-10
1,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_10.tif,5.5248619013070766e-09,5.5248619013070766e-09
2,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_11.tif,0.610088050365448,0.4389400780200958
3,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_12.tif,0.7392394542694092,0.5863440632820129
4,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_13.tif,0.8100866675376892,0.6807947158813477
5,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_14.tif,0.7744549512863159,0.631926953792572
6,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_15.tif,0.7018910050392151,0.5407026410102844
7,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_16.tif,0.5522306561470032,0.3814355432987213
8,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_17.tif,0.4372331202030182,0.27978143095970154
9,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_18.tif,0.16284987330436707,0.0886426568031311
10,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_19.tif,9.661835775887084e-10,9.661835775887084e-10
11,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_2.tif,1.949317818272789e-09,1.949317818272789e-09
12,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_20.tif,6.775067729059003e-10,6.775067729059003e-10
13,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_21.tif,7.230657739221158e-10,7.230657739221158e-10
14,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_22.tif,6.038647359929428e-10,6.038647359929428e-10
15,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_23.tif,1.0,1.0
16,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_3.tif,1.6447367912064692e-09,1.6447367912064692e-09
17,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_4.tif,4.651162566204903e-09,4.651162566204903e-09
18,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_5.tif,3.1152647128607214e-09,3.1152647128607214e-09
19,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_6.tif,3.333333387089965e-09,3.333333387089965e-09
20,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_7.tif,4.291845545623119e-09,4.291845545623119e-09
21,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_8.tif,5.834305816243557e-10,5.834305816243557e-10
22,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_9.tif,4.739336478820633e-09,4.739336478820633e-09
23,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_1.tif,1.0,1.0
24,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_10.tif,0.9255363941192627,0.8613938689231873
25,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_11.tif,0.5174537897109985,0.349030464887619
26,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_12.tif,1.0,1.0
27,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_13.tif,1.0,1.0
28,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_14.tif,1.0,1.0
29,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_15.tif,1.0,1.0
30,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_16.tif,1.0,1.0
31,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_17.tif,1.0,1.0
32,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_18.tif,3.3333321880490985e-07,3.3333321880490985e-07
33,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_19.tif,9.910803289159276e-10,9.910803289159276e-10
34,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_2.tif,8.826125386107719e-10,8.826125386107719e-10
35,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_20.tif,2.0325203742288522e-09,2.0325203742288522e-09
36,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_3.tif,5.521811341502314e-10,5.521811341502314e-10
37,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_4.tif,1.0224948665538136e-09,1.0224948665538136e-09
38,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_5.tif,6.1349694213674866e-09,6.1349694213674866e-09
39,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_6.tif,7.692307235629414e-08,7.692307235629414e-08
40,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_7.tif,0.31448274850845337,0.1865793764591217
41,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_8.tif,0.9062850475311279,0.8286300897598267
42,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_9.tif,0.9196035265922546,0.8511722683906555
43,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_1.tif,1.1750881379057887e-09,1.1750881379057887e-09
44,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_10.tif,0.1625908762216568,0.08848921209573746
45,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_11.tif,0.3289779722690582,0.19687232375144958
46,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_12.tif,0.26973026990890503,0.1558891385793686
47,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_13.tif,0.346646785736084,0.20966288447380066
48,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_14.tif,0.4009929895401001,0.2507762610912323
49,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_15.tif,0.43893590569496155,0.2811773717403412
50,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_16.tif,0.42008623480796814,0.2658918797969818
51,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_17.tif,0.45711350440979004,0.2962716519832611
52,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_18.tif,0.4495849907398224,0.28997719287872314
53,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_19.tif,0.19779643416404724,0.10975255072116852
54,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_2.tif,8.36120395142359e-10,8.36120395142359e-10
55,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_20.tif,0.20125071704387665,0.11188369244337082
56,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_21.tif,2.99401192727089e-09,2.99401192727089e-09
57,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_22.tif,5.5555555711350735e-09,5.5555555711350735e-09
58,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_23.tif,1.0,1.0
59,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_24.tif,1.0,1.0
60,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_3.tif,4.938271458421184e-10,4.938271458421184e-10
61,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_4.tif,5.3333332195038e-10,5.3333332195038e-10
62,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_5.tif,7.490636444451582e-10,7.490636444451582e-10
63,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_6.tif,4.111841978016173e-10,4.111841978016173e-10
64,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_7.tif,3.606202558792404e-10,3.606202558792404e-10
65,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_8.tif,2.491901407442043e-10,2.491901407442043e-10
66,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_9.tif,2.113271363457514e-10,2.113271363457514e-10
67,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_1.tif,1.7605633617634453e-09,1.7605633617634453e-09
68,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_10.tif,8.936550388582987e-10,8.936550388582987e-10
69,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_11.tif,7.91139265210461e-10,7.91139265210461e-10
70,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_12.tif,6.305170274778504e-10,6.305170274778504e-10
71,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_13.tif,6.031363186664862e-10,6.031363186664862e-10
72,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_14.tif,6.013229358892147e-10,6.013229358892147e-10
73,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_15.tif,6.925207629571162e-10,6.925207629571162e-10
74,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_16.tif,5.871990671479921e-10,5.871990671479921e-10
75,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_17.tif,0.23828484117984772,0.1352573037147522
76,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_18.tif,0.5119073987007141,0.3440023958683014
77,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_19.tif,0.4888606071472168,0.32350462675094604
78,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_2.tif,2.2222221840451084e-09,2.2222221840451084e-09
79,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_20.tif,0.2564662992954254,0.1470956951379776
80,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_21.tif,0.2212078720331192,0.12435846775770187
81,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_22.tif,0.2598070800304413,0.14929786324501038
82,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_23.tif,0.2814185321331024,0.16375046968460083
83,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_24.tif,0.2789168357849121,0.16205888986587524
84,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_25.tif,0.2700687050819397,0.15611527860164642
85,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_26.tif,0.15771526098251343,0.08560851216316223
86,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_27.tif,0.16878683865070343,0.09217214584350586
87,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_28.tif,0.22521008551120758,0.12689393758773804
88,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_29.tif,0.36387899518013,0.22240348160266876
89,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_3.tif,6.0240963328794805e-09,6.0240963328794805e-09
90,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_30.tif,0.11740473657846451,0.062363237142562866
91,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_31.tif,2.1413275597126358e-09,2.1413275597126358e-09
92,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_32.tif,1.0822510665420282e-09,1.0822510665420282e-09
93,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_33.tif,1.8348623731512248e-09,1.8348623731512248e-09
94,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_34.tif,1.2658227799278166e-09,1.2658227799278166e-09
